SUBURB, id, month_year, total_offences
NORTH HAVEN,1002,Jul-19,19
EXETER,1015,Jul-19,8
SEMAPHORE,1027,Jul-19,25
SEMAPHORE PARK,1039,Jul-19,31
DUDLEY PARK,105,Jul-19,7
SEMAPHORE SOUTH,1051,Jul-19,1
WEST LAKES SHORE,1063,Jul-19,14
WEST LAKES,1075,Jul-19,57
GRANGE,1087,Jul-19,39
HENLEY BEACH,1099,Jul-19,29
HENLEY BEACH SOUTH,1111,Jul-19,6
FINDON,1133,Jul-19,53
SEATON,1148,Jul-19,45
RENOWN PARK,116,Jul-19,13
FULHAM,1160,Jul-19,15
FULHAM GARDENS,1172,Jul-19,19
WEST BEACH,1185,Jul-19,20
FLINDERS PARK,1197,Jul-19,20
BROMPTON,1209,Jul-19,54
HINDMARSH,1221,Jul-19,25
NORTH PLYMPTON,1233,Jul-19,20
CAMDEN PARK,1245,Jul-19,27
PLYMPTON,1257,Jul-19,68
PLYMPTON PARK,1269,Jul-19,25
RIDLEYTON,128,Jul-19,25
SOUTH PLYMPTON,1281,Jul-19,23
CLARENCE GARDENS,1293,Jul-19,4
MALVERN,1305,Jul-19,3
UNLEY,1317,Jul-19,21
UNLEY PARK,1328,Jul-19,2
CLAPHAM,1339,Jul-19,3
HAWTHORN,1350,Jul-19,13
KINGSWOOD,1363,Jul-19,5
GLENELG SOUTH,1375,Jul-19,6
OAKLANDS PARK,1386,Jul-19,107
COLONEL LIGHT GARDENS,1398,Jul-19,4
WEST CROYDON,140,Jul-19,19
CUMBERLAND PARK,1410,Jul-19,8
DAW PARK,1422,Jul-19,3
PANORAMA,1434,Jul-19,1
WESTBOURNE PARK,1446,Jul-19,12
WARRADALE,1458,Jul-19,16
DARLINGTON,1470,Jul-19,11
SEACOMBE GARDENS,1482,Jul-19,29
SEACOMBE HEIGHTS,1494,Jul-19,5
STURT,1506,Jul-19,14
BRIGHTON,1518,Jul-19,16
ALLENBY GARDENS,152,Jul-19,5
DOVER GARDENS,1530,Jul-19,10
HOVE,1542,Jul-19,9
NORTH BRIGHTON,1554,Jul-19,4
KESWICK TERMINAL,1565,Jul-19,5
GLANDORE,1577,Jul-19,19
KURRALTA PARK,1589,Jul-19,29
MITCHELL PARK,1612,Jul-19,45
MORPHETTVILLE,1625,Jul-19,8
PARK HOLME,1637,Jul-19,21
BEVERLEY,164,Jul-19,13
GLENGOWRIE,1649,Jul-19,14
SOMERTON PARK,1661,Jul-19,12
GLENELG,1673,Jul-19,28
GLENELG EAST,1685,Jul-19,28
GLENELG NORTH,1697,Jul-19,21
SOUTH BRIGHTON,1710,Jul-19,5
MARINO,1730,Jul-19,7
SEACLIFF,1742,Jul-19,4
SEACLIFF PARK,1754,Jul-19,8
KILKENNY,176,Jul-19,36
SEAVIEW DOWNS,1766,Jul-19,21
BELLEVUE HEIGHTS,1778,Jul-19,3
EDEN HILLS,1789,Jul-19,4
BLACKWOOD,1801,Jul-19,16
CRAIGBURN FARM,1823,Jul-19,2
HAWTHORNDENE,1832,Jul-19,1
BELAIR,1843,Jul-19,6
GLENALTA,1855,Jul-19,1
HYDE PARK,1866,Jul-19,3
NEWTON,1878,Jul-19,27
OTTOWAY,188,Jul-19,28
DERNANCOURT,1890,Jul-19,16
ADELAIDE,19,Jul-19,604
PARADISE,1902,Jul-19,19
ATHELSTONE,1914,Jul-19,14
LOWER MITCHAM,1926,Jul-19,2
LYNTON,1933,Jul-19,1
ROSE PARK,1942,Jul-19,3
KENSINGTON,1962,Jul-19,12
KENSINGTON GARDENS,1973,Jul-19,6
KENSINGTON PARK,1985,Jul-19,13
LEABROOK,1997,Jul-19,3
PENNINGTON,200,Jul-19,26
MARRYATVILLE,2008,Jul-19,6
ST MORRIS,2020,Jul-19,3
TRINITY GARDENS,2031,Jul-19,2
COLLEGE PARK,2041,Jul-19,4
JOSLIN,2051,Jul-19,6
MARDEN,2061,Jul-19,23
PAYNEHAM,2073,Jul-19,2
PAYNEHAM SOUTH,2085,Jul-19,3
ROYSTON PARK,2096,Jul-19,5
MAGILL,2114,Jul-19,21
ROSEWATER,212,Jul-19,33
EVANDALE,2136,Jul-19,4
HACKNEY,2148,Jul-19,7
MAYLANDS,2160,Jul-19,8
ST PETERS,2172,Jul-19,16
STEPNEY,2184,Jul-19,10
FELIXSTOW,2196,Jul-19,6
FIRLE,2208,Jul-19,5
GLYNDE,2220,Jul-19,6
MITCHAM,2232,Jul-19,3
WINGFIELD,224,Jul-19,33
NETHERBY,2243,Jul-19,9
TORRENS PARK,2262,Jul-19,8
EASTWOOD,2274,Jul-19,6
FREWVILLE,2287,Jul-19,9
FULLARTON,2299,Jul-19,12
HIGHGATE,2310,Jul-19,5
PARKSIDE,2321,Jul-19,17
GLEN OSMOND,2333,Jul-19,10
GLENUNGA,2345,Jul-19,7
MYRTLE BANK,2359,Jul-19,10
ALBERT PARK,237,Jul-19,4
DULWICH,2387,Jul-19,2
GLENSIDE,2399,Jul-19,17
LINDEN PARK,2411,Jul-19,7
TOORAK GARDENS,2423,Jul-19,4
TUSMORE,2434,Jul-19,6
BURNSIDE,2454,Jul-19,5
ERINDALE,2463,Jul-19,6
HAZELWOOD PARK,2475,Jul-19,3
STONYFELL,2485,Jul-19,2
ALBERTON,249,Jul-19,13
WATTLE PARK,2494,Jul-19,1
BEULAH PARK,2505,Jul-19,1
KENT TOWN,2517,Jul-19,21
NORWOOD,2529,Jul-19,30
BEDFORD PARK,2541,Jul-19,15
CLOVELLY PARK,2554,Jul-19,6
PASADENA,2566,Jul-19,10
ST MARYS,2578,Jul-19,18
TONSLEY,2590,Jul-19,2
ASCOT PARK,2601,Jul-19,18
CHELTENHAM,261,Jul-19,13
MARION,2613,Jul-19,23
PARA VISTA,2625,Jul-19,18
VALLEY VIEW,2637,Jul-19,36
CAVAN,2649,Jul-19,18
DRY CREEK,2661,Jul-19,18
GEPPS CROSS,2673,Jul-19,24
MAWSON LAKES,2685,Jul-19,115
COLLINSWOOD,2698,Jul-19,6
GILBERTON,2710,Jul-19,10
MEDINDIE,2722,Jul-19,6
HENDON,273,Jul-19,6
MEDINDIE GARDENS,2732,Jul-19,1
NORTHFIELD,2741,Jul-19,13
NORTHGATE,2753,Jul-19,5
GILLES PLAINS,2768,Jul-19,49
GREENACRES,2780,Jul-19,17
HAMPSTEAD GARDENS,2792,Jul-19,7
HILLCREST,2804,Jul-19,20
MANNINGHAM,2816,Jul-19,5
OAKDEN,2828,Jul-19,16
QUEENSTOWN,284,Jul-19,8
KLEMZIG,2840,Jul-19,29
SKYE,2852,Jul-19,1
HECTORVILLE,2879,Jul-19,19
ROSTREVOR,2891,Jul-19,11
TRANMERE,2903,Jul-19,10
CAMPBELLTOWN,2915,Jul-19,41
NAILSWORTH,2927,Jul-19,16
SEFTON PARK,2939,Jul-19,24
BLAIR ATHOL,2951,Jul-19,81
ROYAL PARK,296,Jul-19,26
KILBURN,2963,Jul-19,81
CLEARVIEW,2976,Jul-19,28
ENFIELD,2988,Jul-19,37
LIGHTSVIEW,3000,Jul-19,16
WINDSOR GARDENS,3012,Jul-19,24
HOLDEN HILL,3024,Jul-19,28
HIGHBURY,3036,Jul-19,18
HOPE VALLEY,3048,Jul-19,24
BANKSIA PARK,3060,Jul-19,9
TEA TREE GULLY,3072,Jul-19,9
BIRKENHEAD,308,Jul-19,15
VISTA,3083,Jul-19,1
MODBURY,3093,Jul-19,81
NORTH ADELAIDE,31,Jul-19,68
MODBURY HEIGHTS,3105,Jul-19,12
MODBURY NORTH,3117,Jul-19,20
SMITHFIELD,3131,Jul-19,71
SMITHFIELD PLAINS,3143,Jul-19,34
YATTALUNGA,3158,Jul-19,2
KUDLA,3163,Jul-19,4
MUNNO PARA,3174,Jul-19,59
MUNNO PARA DOWNS,3185,Jul-19,3
SALISBURY HEIGHTS,3196,Jul-19,9
ETHELTON,320,Jul-19,16
SALISBURY PARK,3208,Jul-19,13
SALISBURY PLAIN,3220,Jul-19,8
BOLIVAR,3232,Jul-19,36
ELIZABETH VALE,3244,Jul-19,37
HILLBANK,3256,Jul-19,30
DAVOREN PARK,3268,Jul-19,80
EDINBURGH NORTH,3279,Jul-19,2
ELIZABETH DOWNS,3291,Jul-19,46
ELIZABETH NORTH,3303,Jul-19,42
ELIZABETH PARK,3315,Jul-19,51
GLANVILLE,332,Jul-19,8
BURTON,3327,Jul-19,31
DIREK,3339,Jul-19,8
GLOBE DERBY PARK,3350,Jul-19,1
WATERLOO CORNER,3368,Jul-19,8
EDINBURGH,3379,Jul-19,6
ELIZABETH,3391,Jul-19,129
ELIZABETH EAST,3403,Jul-19,43
ELIZABETH GROVE,3415,Jul-19,35
