p_unemp_tot, lga_name16, lga_code16
105,"Albury (C)","10050"
140,"Armidale Regional (A)","10130"
73,"Ballina (A)","10250"
23,"Balranald (A)","10300"
111,"Bathurst Regional (A)","10470"
51,"Bega Valley (A)","10550"
23,"Bellingen (A)","10600"
5,"Berrigan (A)","10650"
508,"Blacktown (C)","10750"
15,"Bland (A)","10800"
8,"Blayney (A)","10850"
60,"Blue Mountains (C)","10900"
18,"Bogan (A)","10950"
27,"Botany Bay (C)","11100"
50,"Bourke (A)","11150"
85,"Brewarrina (A)","11200"
152,"Kempsey (A)","14350"
27,"Kiama (A)","14400"
113,"Broken Hill (C)","11250"
40,"Hilltops (A)","13910"
22,"Hornsby (A)","14000"
3,"Hunters Hill (A)","14100"
113,"Inner West (A)","14170"
115,"Inverell (A)","14200"
9,"Junee (A)","14300"
7,"Ku-ring-gai (A)","14500"
25,"Kyogle (A)","14550"
86,"Lachlan (A)","14600"
471,"Lake Macquarie (C)","14650"
0,"Lane Cove (A)","14700"
54,"Leeton (A)","14750"
149,"Lismore (C)","14850"
60,"Lithgow (C)","14870"
130,"Liverpool (C)","14900"
61,"Liverpool Plains (A)","14920"
6,"Lockhart (A)","14950"
247,"Maitland (C)","15050"
346,"Mid-Coast (A)","15240"
70,"Mid-Western Regional (A)","15270"
213,"Moree Plains (A)","15300"
3,"Mosman (A)","15350"
14,"Murray River (A)","15520"
11,"Murrumbidgee (A)","15560"
99,"Muswellbrook (A)","15650"
84,"Nambucca (A)","15700"
98,"Narrabri (A)","15750"
28,"Narrandera (A)","15800"
76,"Narromine (A)","15850"
355,"Newcastle (C)","15900"
6,"North Sydney (A)","15950"
25,"Northern Beaches (A)","15990"
11,"Oberon (A)","16100"
153,"Orange (C)","16150"
102,"Parkes (A)","16200"
72,"Parramatta (C)","16260"
363,"Penrith (C)","16350"
306,"Campbelltown (C) (NSW)","11500"
18,"Canada Bay (A)","11520"
125,"Canterbury-Bankstown (A)","11570"
8,"Carrathool (A)","11600"
669,"Central Coast (C) (NSW)","11650"
3,"Burwood (A)","11300"
23,"Byron (A)","11350"
17,"Cabonne (A)","11400"
72,"Camden (A)","11450"
41,"Central Darling (A)","11700"
218,"Cessnock (C)","11720"
228,"Clarence Valley (A)","11730"
39,"Cobar (A)","11750"
249,"Coffs Harbour (C)","11800"
6,"Coolamon (A)","12000"
98,"Coonamble (A)","12150"
56,"Cowra (A)","12350"
83,"Cumberland (A)","12380"
16,"Dungog (A)","12700"
22,"Edward River (A)","12730"
129,"Eurobodalla (A)","12750"
80,"Fairfield (C)","12850"
9,"Federation (A)","12870"
53,"Forbes (A)","12900"
35,"Georges River (A)","12930"
47,"Gilgandra (A)","12950"
34,"Glen Innes Severn (A)","13010"
60,"Goulburn Mulwaree (A)","13310"
14,"Greater Hume Shire (A)","13340"
64,"Griffith (C)","13450"
24,"Gundagai (A)","13510"
98,"Gunnedah (A)","13550"
10,"Gwydir (A)","13660"
95,"Hawkesbury (C)","13800"
7,"Hay (A)","13850"
166,"Port Macquarie-Hastings (A)","16380"
172,"Port Stephens (A)","16400"
78,"Queanbeyan-Palerang Regional (A)","16490"
86,"Randwick (C)","16550"
103,"Richmond Valley (A)","16610"
31,"Rockdale (C)","16650"
18,"Ryde (C)","16700"
131,"Shellharbour (C)","16900"
297,"Shoalhaven (C)","16950"
59,"Singleton (A)","17000"
22,"Snowy Monaro Regional (A)","17040"
28,"Snowy Valleys (A)","17080"
24,"The Hills Shire (A)","17420"
184,"Tweed (A)","17550"
27,"Upper Hunter Shire (A)","17620"
3,"Upper Lachlan Shire (A)","17640"
20,"Uralla (A)","17650"
181,"Wagga Wagga (C)","17750"
7,"Walcha (A)","17850"
120,"Walgett (A)","17900"
34,"Warren (A)","17950"
76,"Warrumbungle Shire (A)","18020"
16,"Waverley (A)","18050"
6,"Weddin (A)","18100"
29,"Wentworth (A)","18200"
457,"Western Plains Regional (A)","18230"
6,"Willoughby (C)","18250"
36,"Wingecarribee (A)","18350"
51,"Wollondilly (A)","18400"
295,"Wollongong (C)","18450"
5,"Woollahra (A)","18500"
19,"Yass Valley (A)","18710"
3,"Unincorporated NSW","19399"
8,"Alpine (S)","20110"
7,"Ararat (RC)","20260"
82,"Ballarat (C)","20570"
32,"Banyule (C)","20660"
16,"Bass Coast (S)","20740"
33,"Baw Baw (S)","20830"
7,"Bayside (C)","20910"
10,"Benalla (RC)","21010"
9,"Boroondara (C)","21110"
43,"Brimbank (C)","21180"
3,"Buloke (S)","21270"
57,"Campaspe (S)","21370"
35,"Cardinia (S)","21450"
81,"Casey (C)","21610"
6,"Central Goldfields (S)","21670"
7,"Colac-Otway (S)","21750"
8,"Corangamite (S)","21830"
72,"Darebin (C)","21890"
72,"East Gippsland (S)","22110"
79,"Frankston (C)","22170"
6,"Gannawarra (S)","22250"
125,"Greater Shepparton (C)","22830"
0,"Hepburn (S)","22910"
3,"Hindmarsh (S)","22980"
31,"Hobsons Bay (C)","23110"
16,"Horsham (RC)","23190"
78,"Hume (C)","23270"
3,"Indigo (S)","23350"
15,"Kingston (C) (Vic.)","23430"
34,"Knox (C)","23670"
100,"Latrobe (C) (Vic.)","23810"
5,"Loddon (S)","23940"
13,"Macedon Ranges (S)","24130"
10,"Manningham (C)","24210"
0,"Mansfield (S)","24250"
36,"Maribyrnong (C)","24330"
16,"Maroondah (C)","24410"
36,"Melbourne (C)","24600"
65,"Melton (C)","24650"
139,"Mildura (RC)","24780"
35,"Mitchell (S)","24850"
19,"Moira (S)","24900"
22,"Monash (C)","24970"
19,"Moonee Valley (C)","25060"
16,"Moorabool (S)","25150"
50,"Moreland (C)","25250"
58,"Mornington Peninsula (S)","25340"
10,"Strathfield (A)","17100"
77,"Sutherland Shire (A)","17150"
146,"Sydney (C)","17200"
329,"Tamworth Regional (A)","17310"
16,"Temora (A)","17350"
22,"Tenterfield (A)","17400"
13,"Glen Eira (C)","22310"
32,"Glenelg (S)","22410"
13,"Golden Plains (S)","22490"
101,"Greater Bendigo (C)","22620"
33,"Greater Dandenong (C)","22670"
109,"Greater Geelong (C)","22750"
10,"Mount Alexander (S)","25430"
5,"Moyne (S)","25490"
11,"Murrindindi (S)","25620"
5,"Nillumbik (S)","25710"
10,"Northern Grampians (S)","25810"
27,"Port Phillip (C)","25900"
5,"Pyrenees (S)","25990"
0,"Queenscliffe (B)","26080"
14,"South Gippsland (S)","26170"
12,"Southern Grampians (S)","26260"
17,"Stonnington (C)","26350"
0,"Strathbogie (S)","26430"
7,"Surf Coast (S)","26490"
42,"Swan Hill (RC)","26610"
6,"Towong (S)","26670"
23,"Wangaratta (RC)","26700"
47,"Warrnambool (C)","26730"
39,"Wellington (S)","26810"
0,"West Wimmera (S)","26890"
17,"Whitehorse (C)","26980"
72,"Whittlesea (C)","27070"
51,"Wodonga (C)","27170"
93,"Wyndham (C)","27260"
20,"Yarra (C)","27350"
54,"Yarra Ranges (S)","27450"
5,"Yarriambiack (S)","27630"
0,"Unincorporated Vic","29399"
140,"Aurukun (S)","30250"
44,"Balonne (S)","30300"
42,"Banana (S)","30370"
3,"Barcaldine (R)","30410"
0,"Barcoo (S)","30450"
7,"Blackall-Tambo (R)","30760"
13,"Longreach (R)","34710"
502,"Mackay (R)","34770"
0,"McKinlay (S)","34800"
32,"Mapoon (S)","34830"
56,"Maranoa (R)","34860"
178,"Mareeba (S)","34880"
827,"Moreton Bay (R)","35010"
94,"Mornington (S)","35250"
238,"Mount Isa (C)","35300"
34,"Murweh (S)","35600"
68,"Napranum (S)","35670"
42,"Noosa (S)","35740"
45,"North Burnett (R)","35760"
195,"Northern Peninsula Area (R)","35780"
204,"Palm Island (S)","35790"
19,"Paroo (S)","35800"
48,"Pormpuraaw (S)","36070"
3,"Quilpie (S)","36150"
196,"Redland (C)","36250"
3,"Richmond (S)","36300"
510,"Rockhampton (R)","36370"
58,"Scenic Rim (R)","36510"
62,"Somerset (R)","36580"
104,"South Burnett (R)","36630"
89,"Southern Downs (R)","36660"
367,"Sunshine Coast (R)","36720"
143,"Tablelands (R)","36820"
420,"Toowoomba (R)","36910"
107,"Torres (S)","36950"
182,"Torres Strait Island (R)","36960"
1027,"Townsville (C)","37010"
1125,"Brisbane (C)","31000"
13,"Burke (S)","31950"
1150,"Cairns (R)","32080"
52,"Carpentaria (S)","32250"
231,"Cassowary Coast (R)","32260"
70,"Central Highlands (R) (Qld)","32270"
98,"Charters Towers (R)","32310"
13,"Boulia (S)","30900"
0,"Bulloo (S)","31750"
295,"Bundaberg (R)","31820"
80,"Burdekin (S)","31900"
132,"Cherbourg (S)","32330"
48,"Cloncurry (S)","32450"
68,"Cook (S)","32500"
8,"Croydon (S)","32600"
21,"Weipa (T)","37300"
118,"Western Downs (R)","37310"
123,"Whitsunday (R)","37340"
3,"Clare and Gilbert Valleys (DC)","41140"
4,"Etheridge (S)","33100"
4,"Flinders (S) (Qld)","33200"
6,"Diamantina (S)","32750"
65,"Doomadgee (S)","32770"
46,"Douglas (S)","32810"
307,"Fraser Coast (R)","33220"
248,"Gladstone (R)","33360"
496,"Gold Coast (C)","33430"
23,"Goondiwindi (R)","33610"
116,"Gympie (R)","33620"
27,"Hinchinbrook (S)","33800"
154,"Hope Vale (S)","33830"
587,"Ipswich (C)","33960"
